r1 void vitreous
7.65000 1.04253 1.40741
7.66000 1.04247 1.40734
7.67000 1.04241 1.40726
7.68000 1.04236 1.40718
7.69000 1.04230 1.40711
7.70000 1.04225 1.40703
7.71000 1.04219 1.40696
7.72000 1.04213 1.40688
7.73000 1.04208 1.40681
7.74000 1.04202 1.40673
7.75000 1.04197 1.40666
7.76000 1.04191 1.40658
7.77000 1.04186 1.40651
7.78000 1.04180 1.40643
7.79000 1.04175 1.40636
7.80000 1.04169 1.40628
7.81000 1.04164 1.40621
7.82000 1.04158 1.40614
7.83000 1.04153 1.40606
7.84000 1.04147 1.40599
7.85000 1.04142 1.40592
7.86000 1.04137 1.40585
7.87000 1.04131 1.40577
7.88000 1.04126 1.40570
7.89000 1.04121 1.40563
7.90000 1.04115 1.40556
7.91000 1.04110 1.40548
7.92000 1.04105 1.40541
7.93000 1.04099 1.40534
7.94000 1.04094 1.40527
7.95000 1.04089 1.40520
7.96000 1.04084 1.40513
7.97000 1.04078 1.40506
7.98000 1.04073 1.40499
7.99000 1.04068 1.40492
8.00000 1.04063 1.40485
8.01000 1.04058 1.40478
8.02000 1.04052 1.40471
8.03000 1.04047 1.40464
8.04000 1.04042 1.40457
8.05000 1.04037 1.40450
8.06000 1.04032 1.40443
8.07000 1.04027 1.40436
8.08000 1.04022 1.40429
8.09000 1.04017 1.40422
8.10000 1.04011 1.40415
8.11000 1.04006 1.40409
8.12000 1.04001 1.40402
8.13000 1.03996 1.40395
8.14000 1.03991 1.40388
8.15000 1.03986 1.40382
8.16000 1.03981 1.40375
8.17000 1.03976 1.40368
8.18000 1.03971 1.40361
8.19000 1.03966 1.40355
8.20000 1.03962 1.40348
8.21000 1.03957 1.40341
8.22000 1.03952 1.40335
8.23000 1.03947 1.40328
8.24000 1.03942 1.40322
8.25000 1.03937 1.40315
8.26000 1.03932 1.40308
8.27000 1.03927 1.40302
8.28000 1.03922 1.40295
8.29000 1.03918 1.40289
8.30000 1.03913 1.40282
8.31000 1.03908 1.40276
8.32000 1.03903 1.40269
8.33000 1.03898 1.40263
8.34000 1.03894 1.40256
8.35000 1.03889 1.40250
8.36000 1.03884 1.40244
8.37000 1.03879 1.40237
8.38000 1.03875 1.40231
8.39000 1.03870 1.40224
8.40000 1.03865 1.40218
8.41000 1.03861 1.40212
8.42000 1.03856 1.40205
8.43000 1.03851 1.40199
8.44000 1.03847 1.40193
8.45000 1.03842 1.40187
8.46000 1.03837 1.40180
8.47000 1.03833 1.40174
8.48000 1.03828 1.40168
8.49000 1.03823 1.40162
8.50000 1.03819 1.40155
8.51000 1.03814 1.40149
8.52000 1.03810 1.40143
8.53000 1.03805 1.40137
8.54000 1.03801 1.40131
8.55000 1.03796 1.40125
8.56000 1.03792 1.40119
8.57000 1.03787 1.40112
8.58000 1.03782 1.40106
8.59000 1.03778 1.40100
8.60000 1.03774 1.40094
8.61000 1.03769 1.40088
8.62000 1.03765 1.40082
8.63000 1.03760 1.40076
8.64000 1.03756 1.40070
8.65000 1.03751 1.40064
8.66000 1.03747 1.40058
8.67000 1.03742 1.40052
8.68000 1.03738 1.40046
8.69000 1.03734 1.40040
8.70000 1.03729 1.40035
8.71000 1.03725 1.40029
8.72000 1.03721 1.40023
8.73000 1.03716 1.40017
8.74000 1.03712 1.40011
8.75000 1.03708 1.40005
8.76000 1.03703 1.39999
8.77000 1.03699 1.39994
8.78000 1.03695 1.39988
8.79000 1.03690 1.39982
8.80000 1.03686 1.39976
8.81000 1.03682 1.39970
8.82000 1.03678 1.39965
8.83000 1.03673 1.39959
8.84000 1.03669 1.39953
8.85000 1.03665 1.39948
8.86000 1.03661 1.39942
8.87000 1.03656 1.39936
8.88000 1.03652 1.39930
8.89000 1.03648 1.39925
8.90000 1.03644 1.39919
8.91000 1.03640 1.39914
8.92000 1.03636 1.39908
8.93000 1.03631 1.39902
8.94000 1.03627 1.39897
8.95000 1.03623 1.39891
8.96000 1.03619 1.39886
8.97000 1.03615 1.39880
8.98000 1.03611 1.39875
8.99000 1.03607 1.39869
9.00000 1.03603 1.39863
9.01000 1.03599 1.39858
9.02000 1.03594 1.39853
9.03000 1.03590 1.39847
9.04000 1.03586 1.39842
9.05000 1.03582 1.39836
9.06000 1.03578 1.39831
9.07000 1.03574 1.39825
9.08000 1.03570 1.39820
9.09000 1.03566 1.39814
9.10000 1.03562 1.39809
9.11000 1.03558 1.39804
9.12000 1.03554 1.39798
9.13000 1.03550 1.39793
9.14000 1.03546 1.39788
9.15000 1.03542 1.39782
9.16000 1.03538 1.39777
9.17000 1.03535 1.39772
9.18000 1.03531 1.39766
9.19000 1.03527 1.39761
9.20000 1.03523 1.39756
9.21000 1.03519 1.39751
9.22000 1.03515 1.39745
9.23000 1.03511 1.39740
9.24000 1.03507 1.39735
9.25000 1.03503 1.39730
9.26000 1.03500 1.39724
9.27000 1.03496 1.39719
9.28000 1.03492 1.39714
9.29000 1.03488 1.39709
9.30000 1.03484 1.39704
9.31000 1.03480 1.39699
9.32000 1.03477 1.39693
9.33000 1.03473 1.39688
9.34000 1.03469 1.39683
9.35000 1.03465 1.39678
9.36000 1.03461 1.39673
9.37000 1.03458 1.39668
9.38000 1.03454 1.39663
9.39000 1.03450 1.39658
9.40000 1.03446 1.39653
9.41000 1.03443 1.39648
9.42000 1.03439 1.39643
9.43000 1.03435 1.39638
9.44000 1.03432 1.39633
9.45000 1.03428 1.39628
9.46000 1.03424 1.39623
9.47000 1.03421 1.39618
9.48000 1.03417 1.39613
9.49000 1.03413 1.39608
9.50000 1.03410 1.39603
9.51000 1.03406 1.39598
9.52000 1.03402 1.39593
9.53000 1.03399 1.39588
9.54000 1.03395 1.39583
9.55000 1.03391 1.39578
9.56000 1.03388 1.39573
9.57000 1.03384 1.39569
9.58000 1.03381 1.39564
9.59000 1.03377 1.39559
9.60000 1.03373 1.39554
9.61000 1.03370 1.39549
9.62000 1.03366 1.39544
9.63000 1.03363 1.39540
9.64000 1.03359 1.39535
9.65000 1.03356 1.39530
9.66000 1.03352 1.39525
9.67000 1.03349 1.39521
9.68000 1.03345 1.39516
9.69000 1.03341 1.39511
9.70000 1.03338 1.39506
9.71000 1.03334 1.39502
9.72000 1.03331 1.39497
9.73000 1.03328 1.39492
9.74000 1.03324 1.39487
9.75000 1.03321 1.39483
9.76000 1.03317 1.39478
9.77000 1.03314 1.39473
9.78000 1.03310 1.39469
9.79000 1.03307 1.39464
9.80000 1.03303 1.39459
9.81000 1.03300 1.39455
9.82000 1.03296 1.39450
9.83000 1.03293 1.39446
9.84000 1.03290 1.39441
9.85000 1.03286 1.39436
9.86000 1.03283 1.39432
9.87000 1.03279 1.39427
9.88000 1.03276 1.39423
9.89000 1.03273 1.39418
9.90000 1.03269 1.39414
9.91000 1.03266 1.39409
9.92000 1.03263 1.39405
9.93000 1.03259 1.39400
9.94000 1.03256 1.39396
9.95000 1.03253 1.39391
9.96000 1.03249 1.39387
9.97000 1.03246 1.39382
9.98000 1.03243 1.39378
9.99000 1.03239 1.39373
10.00000 1.03236 1.39369
10.01000 1.03233 1.39364
10.02000 1.03230 1.39360
10.03000 1.03226 1.39355
10.04000 1.03223 1.39351
10.05000 1.03220 1.39347
10.06000 1.03217 1.39342
10.07000 1.03213 1.39338
10.08000 1.03210 1.39334
10.09000 1.03207 1.39329
10.10000 1.03204 1.39325
10.11000 1.03200 1.39320
10.12000 1.03197 1.39316
10.13000 1.03194 1.39312
10.14000 1.03191 1.39307
10.15000 1.03188 1.39303
10.16000 1.03184 1.39299
10.17000 1.03181 1.39295
10.18000 1.03178 1.39290
10.19000 1.03175 1.39286
10.20000 1.03172 1.39282
10.21000 1.03168 1.39277
10.22000 1.03165 1.39273
10.23000 1.03162 1.39269
10.24000 1.03159 1.39265
10.25000 1.03156 1.39260
10.26000 1.03153 1.39256
10.27000 1.03150 1.39252
10.28000 1.03147 1.39248
10.29000 1.03143 1.39244
